scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Oxystegus tenuirostris,Yosemite National Park,149,Nonvascular Plant,Oxystegus Moss,No Intervention,False
Salix melanopsis,Yosemite National Park,137,Vascular Plant,Dusky Willow,No Intervention,False
Coreopsis lanceolata,Yosemite National Park,182,Vascular Plant,Lanceleaf Tickseed,No Intervention,False
Buxus sempervirens,Yosemite National Park,148,Vascular Plant,"Boxwood, Common Boxwood",No Intervention,False
Festuca occidentalis,Yellowstone National Park,246,Vascular Plant,Western Fescue,No Intervention,False
Hieracium horridum,Yellowstone National Park,255,Vascular Plant,"Prickly Hawkweed, Shaggy Hawkweed",No Intervention,False
Astragalus agrestis,Yosemite National Park,151,Vascular Plant,"Cock's-Head, Field Milkvetch, Purple Milkvetch",No Intervention,False
Dichanthelium acuminatum var. fasciculatum,Yosemite National Park,170,Vascular Plant,Woolly Panic Grass,No Intervention,False
Lemna trisulca,Great Smoky Mountains National Park,55,Vascular Plant,"Ivy-Leaf Duckweed, Star Duckweed",No Intervention,False
Alopecurus borealis,Bryce National Park,94,Vascular Plant,Boreal Alopecurus,No Intervention,False
Mollugo verticillata,Yosemite National Park,121,Vascular Plant,"Carpet-Weed, Green Carpet-Weed",No Intervention,False
Deschampsia flexuosa,Yosemite National Park,158,Vascular Plant,Wavy Hairgrass,No Intervention,False
Erigeron strigosus,Bryce National Park,92,Vascular Plant,"Daisy Fleabane, Daisy-Fleabane",No Intervention,False
Carex illota,Yosemite National Park,164,Vascular Plant,"Sheep Sedge, Smallhead Sedge",No Intervention,False
Ornithogalum umbellatum,Yellowstone National Park,276,Vascular Plant,"Common Star-Of-Bethlehem, Star-Of-Bethlehem",No Intervention,False
Helianthus nuttallii,Bryce National Park,102,Vascular Plant,Nuttall's Sunflower,No Intervention,False
Campanula aparinoides,Great Smoky Mountains National Park,75,Vascular Plant,"Marsh Bellflower, Marsh Bluebell",No Intervention,False
Chamaebatiaria millefolium,Great Smoky Mountains National Park,48,Vascular Plant,"Desert Sweet, Fernbush",No Intervention,False
Myosotis stricta,Bryce National Park,89,Vascular Plant,Strict Forget Me Not,No Intervention,False
Acrobolbus ciliatus,Great Smoky Mountains National Park,77,Nonvascular Plant,Acrobolbus,No Intervention,False
Apocynum cannabinum var. cannabinum,Yellowstone National Park,262,Vascular Plant,Indian Hemp,No Intervention,False
Storeria dekayi wrightorum,Bryce National Park,105,Reptile,Midland Brown Snake,No Intervention,False
Eumeces anthracinus,Bryce National Park,84,Reptile,Coal Skink,No Intervention,False
Epilobium obcordatum,Bryce National Park,137,Vascular Plant,"Rockfringe, Rose Willowweed",No Intervention,False
Polygonum ramosissimum,Great Smoky Mountains National Park,46,Vascular Plant,"Bushy Knotweed, Tall Knotweed, Yellow Knotweed, Yellow-Flower Knotweed",No Intervention,False
Stellaria graminea,Bryce National Park,113,Vascular Plant,"Grasslike Starwort, Little Starwort",No Intervention,False
Trillium undulatum,Great Smoky Mountains National Park,89,Vascular Plant,Painted Trillium,No Intervention,False
Mitella diphylla,Bryce National Park,82,Vascular Plant,"Bishop's Cap, Two-Leaf Bishop's-Cap",No Intervention,False
Drosera rotundifolia,Yellowstone National Park,269,Vascular Plant,"Roundleaf Sundew, Sundew",No Intervention,False
Phacelia ramosissima var. ramosissima,Bryce National Park,95,Vascular Plant,Branching Phacelia,No Intervention,False
Trachemys scripta troostii,Yellowstone National Park,246,Reptile,Cumberland Slider,No Intervention,False
Symphyotrichum lanceolatum var. hesperium,Yellowstone National Park,241,Vascular Plant,White Panicle Aster,No Intervention,False
Utricularia gibba,Yellowstone National Park,242,Vascular Plant,"Conespur Bladderpod, Humped Bladderwort",No Intervention,False
Melampyrum lineare,Yosemite National Park,126,Vascular Plant,Cow Wheat,No Intervention,False
Lespedeza procumbens,Bryce National Park,82,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",No Intervention,False
Astragalus laxmannii var. robustior,Great Smoky Mountains National Park,63,Vascular Plant,Prairie Milkvetch,No Intervention,False
Solidago bicolor,Great Smoky Mountains National Park,77,Vascular Plant,"Silverrod, White Goldenrod",No Intervention,False
Anthoxanthum odoratum,Great Smoky Mountains National Park,60,Vascular Plant,Sweet Vernal Grass,No Intervention,False
Arabis lyrata,Great Smoky Mountains National Park,81,Vascular Plant,"Lyre-Leaf Rockcress, Lyre-Leaved Rockcress",No Intervention,False
Pogonia ophioglossoides,Great Smoky Mountains National Park,64,Vascular Plant,"Pogonia, Rose Pogonia",No Intervention,False
Triodanis perfoliata var. perfoliata,Great Smoky Mountains National Park,83,Vascular Plant,Venus? Looking-Glass,No Intervention,False
Carex petasata,Yosemite National Park,143,Vascular Plant,"Liddon Sedge, Liddon's Sedge",No Intervention,False
Icterus galbula,Yellowstone National Park,274,Bird,"Baltimore Oriole, Northern Oriole",No Intervention,False
Linaria vulgaris,Great Smoky Mountains National Park,132,Vascular Plant,Butter-And-Eggs,No Intervention,False
Solidago speciosa var. rigidiuscula,Yosemite National Park,119,Vascular Plant,Showy Goldenrod,No Intervention,False
Festuca subulata,Bryce National Park,64,Vascular Plant,"Bearded Fescue, Nodding Fescue",No Intervention,False
Limnodromus griseus,Yosemite National Park,125,Bird,Short-Billed Dowitcher,No Intervention,False
Solanum americanum,Bryce National Park,106,Vascular Plant,"American Black Nightshade, Common Purple Nightshade, Smallflower Nightshade",No Intervention,False
Troglodytes aedon,Great Smoky Mountains National Park,71,Bird,House Wren,No Intervention,False
Ranunculus eschscholtzii var. trisectus,Yellowstone National Park,228,Vascular Plant,Threesection Buttercup,No Intervention,False
Fagopyrum vulgare,Yellowstone National Park,232,Vascular Plant,Buckwheat,No Intervention,False
Lactuca biennis,Great Smoky Mountains National Park,64,Vascular Plant,Tall Blue Lettuce,No Intervention,False
Arctium lappa,Great Smoky Mountains National Park,86,Vascular Plant,"Great Burdock, Greater Burdock, Greater Burrdock, Woodland Burdock",No Intervention,False
Sceloporus undulatus hyacinthinus,Yosemite National Park,84,Reptile,Northern Fence Lizard,No Intervention,False
Phoradendron leucarpum,Yosemite National Park,158,Vascular Plant,American Mistletoe,No Intervention,False
Artemisia tridentata var. tridentata,Bryce National Park,88,Vascular Plant,"Basin Sagebrush, Big Sagebrush",No Intervention,False
Spiraea tomentosa,Yellowstone National Park,260,Vascular Plant,Steeplebush,No Intervention,False
Lotus scoparius var. scoparius,Yellowstone National Park,244,Vascular Plant,Common Deerweed,No Intervention,False
Etheostoma stigmaeum,Yosemite National Park,147,Fish,Speckled Darter,No Intervention,False
Anas rubripes,Yellowstone National Park,273,Bird,American Black Duck,No Intervention,False
Fimbristylis tomentosa,Bryce National Park,110,Vascular Plant,Woolly Fimbry,No Intervention,False
Delphinium glaucum,Yellowstone National Park,272,Vascular Plant,"Mountain Larkspur, Sierra Larkspur, Tower Larkspur",No Intervention,False
Veronica biloba,Yosemite National Park,127,Vascular Plant,"Bilobed Speedwell, Twolobe Speedwell, Twolobed Speedwell",No Intervention,False
Juncus torreyi,Yellowstone National Park,248,Vascular Plant,"Torrey Rush, Torrey's Rush",No Intervention,False
Cyperus retrorsus var. robustus,Bryce National Park,107,Vascular Plant,Pine Barren Flatsedge,No Intervention,False
Abietinella abietina,Yosemite National Park,183,Nonvascular Plant,Abietinella Moss,No Intervention,False
Euonymus alatus,Yosemite National Park,161,Vascular Plant,"Winged Euonymus, Winged Spindle-Tree",No Intervention,False
Myrica hartwegii,Bryce National Park,101,Vascular Plant,"Sierra Bayberry, Sierra Sweet-Bay",No Intervention,False
Symphyotrichum divaricatum,Great Smoky Mountains National Park,52,Vascular Plant,Southern Annual Saltmarsh Aster,No Intervention,False
Rhus hirta,Bryce National Park,72,Vascular Plant,Staghorn Sumac,No Intervention,False
Mentzelia lindleyi,Yosemite National Park,111,Vascular Plant,Lindley's Blazingstar,No Intervention,False
Panicum verrucosum,Yosemite National Park,172,Vascular Plant,"Tuberculate Panic Grass, Warty Panic Grass",No Intervention,False
Onoclea sensibilis,Yosemite National Park,130,Vascular Plant,Sensitive Fern,No Intervention,False
Melospiza lincolnii,Yosemite National Park,164,Bird,Lincoln's Sparrow,Species of Concern,True
Chamerion latifolium,Yellowstone National Park,258,Vascular Plant,Dwarf Fireweed,No Intervention,False
Vaccinium angustifolium,Yellowstone National Park,255,Vascular Plant,"Late Lowbush Blueberry, Lowbush Blueberry",No Intervention,False
Pinus sabiniana,Great Smoky Mountains National Park,72,Vascular Plant,"Bull Pine, California Foothill Pine, Digger Pine, Gray Pine",No Intervention,False
Epilobium foliosum,Great Smoky Mountains National Park,63,Vascular Plant,"California Willowherb, Leafy Willowherb",No Intervention,False
Butorides virescens,Bryce National Park,69,Bird,Green-Backed Heron,No Intervention,False
Cyrto-hypnum pygmaeum,Bryce National Park,96,Nonvascular Plant,Pygmy Cyrto-Hypnum Moss,No Intervention,False
Sterna forsteri,Yosemite National Park,175,Bird,Forster's Tern,No Intervention,False
Waldsteinia fragarioides ssp. doniana,Great Smoky Mountains National Park,75,Vascular Plant,Barren Strawberry,No Intervention,False
Amorpha georgiana,Bryce National Park,116,Vascular Plant,Georgia Leadplant,No Intervention,False
Saxifraga michauxii,Yellowstone National Park,259,Vascular Plant,"Michaux Saxifrage, Michaux's Saxifrage",No Intervention,False
Carex douglasii,Great Smoky Mountains National Park,84,Vascular Plant,"Douglas Sedge, Douglas' Sedge",No Intervention,False
Setaria viridis,Great Smoky Mountains National Park,103,Vascular Plant,"Green Bristle Grass, Green Foxtail",No Intervention,False
Guiraca caerulea,Yellowstone National Park,228,Bird,Blue Grosbeak,Species of Concern,True
Melilotus alba,Bryce National Park,99,Vascular Plant,White Sweetclover,No Intervention,False
Geothlypis tolmiei,Great Smoky Mountains National Park,80,Bird,Macgillivray's Warbler,No Intervention,False
Muscari comosum,Yellowstone National Park,264,Vascular Plant,Tassel Grapehyacinth,No Intervention,False
Barbula unguiculata,Yellowstone National Park,248,Nonvascular Plant,Barbula Moss,No Intervention,False
Viola vallicola,Great Smoky Mountains National Park,39,Vascular Plant,"Sagebrush Violet, Valley Violet",No Intervention,False
Cirsium canovirens,Bryce National Park,125,Vascular Plant,Graygreen Thistle,No Intervention,False
Agrostis thurberiana,Great Smoky Mountains National Park,39,Vascular Plant,Thurber's Bentgrass,No Intervention,False
Acer spicatum,Yellowstone National Park,263,Vascular Plant,Mountain Maple,No Intervention,False
Hackelia virginiana,Great Smoky Mountains National Park,72,Vascular Plant,"Beggar's Lice, Virginia Stickseed",No Intervention,False
Anthriscus caucalis,Yellowstone National Park,238,Vascular Plant,"Bur Chervil, Burr Chervil",No Intervention,False
Cyanocitta cristata,Yellowstone National Park,257,Bird,Blue Jay,No Intervention,False
Eriastrum sparsiflorum,Yellowstone National Park,243,Vascular Plant,"Fewflower Woolstar, Great Basin Woollystar",No Intervention,False
Eupatorium pilosum,Yellowstone National Park,232,Vascular Plant,Rough Boneset,No Intervention,False
Galium trifidum,Yosemite National Park,141,Vascular Plant,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw",No Intervention,False
Perdix perdix,Yellowstone National Park,300,Bird,"Gray Partridge, Grey Partridge",No Intervention,False
Arabis laevigata,Yosemite National Park,171,Vascular Plant,Smooth Rockcress,No Intervention,False
Columba livia,Yellowstone National Park,251,Bird,Rock Dove,No Intervention,False
Solanum ptychanthum,Yosemite National Park,132,Vascular Plant,Nightshade,No Intervention,False
Listera cordata,Yellowstone National Park,251,Vascular Plant,Heartleaf Twayblade,No Intervention,False
Sorbus californica,Yosemite National Park,167,Vascular Plant,California Mountain-Ash,No Intervention,False
Viburnum edule,Great Smoky Mountains National Park,61,Vascular Plant,Squashberry,No Intervention,False
Oenothera laciniata,Yellowstone National Park,249,Vascular Plant,"Cut-Leaved Evening Primrose, Cut-Leaved Evening-Primrose",No Intervention,False
Alopecurus pratensis,Yellowstone National Park,270,Vascular Plant,"Field Meadow-Foxtail, Meadow Foxtail",No Intervention,False
Botrychium simplex,Great Smoky Mountains National Park,85,Vascular Plant,Least Moonwort,No Intervention,False
Asclepias incarnata ssp. incarnata,Great Smoky Mountains National Park,81,Vascular Plant,Swamp Milkweed,No Intervention,False
Prenanthes roanensis,Bryce National Park,118,Vascular Plant,"Roan Rattlesnakeroot, Roan's Rattlesnakeroot",No Intervention,False
Cornus alternifolia,Great Smoky Mountains National Park,61,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",No Intervention,False
Juncus bufonius var. bufonius,Great Smoky Mountains National Park,73,Vascular Plant,Toad Rush,No Intervention,False
Cratoneuron filicinum,Yosemite National Park,132,Nonvascular Plant,Cratoneuron Moss,No Intervention,False
Sclerolinon digynum,Yellowstone National Park,240,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",No Intervention,False
Phalaropus fulicarius,Yellowstone National Park,245,Bird,Red Phalarope,No Intervention,False
Potamogeton epihydrus,Bryce National Park,112,Vascular Plant,"Nuttall Pondweed, Ribbonleaf Pondweed",No Intervention,False
Ambystoma talpoideum,Great Smoky Mountains National Park,82,Amphibian,Mole Salamander,No Intervention,False
Sequoiadendron giganteum,Bryce National Park,121,Vascular Plant,"Giant Redwood, Giant Sequoia, Sierra Redwood",No Intervention,False
Delphinium bicolor ssp. bicolor,Great Smoky Mountains National Park,75,Vascular Plant,Little Larkspur,No Intervention,False
Rhynchospora alba,Yellowstone National Park,254,Vascular Plant,White Beaksedge,No Intervention,False
Sturnella neglecta,Yosemite National Park,140,Bird,Western Meadowlark,No Intervention,False
Doellingeria umbellata var. umbellata,Yellowstone National Park,220,Vascular Plant,Parasol Whitetop,No Intervention,False
Lobelia inflata,Yosemite National Park,131,Vascular Plant,"Indian Tabacco, Indian-Tobacco",No Intervention,False
Passerina amoena,Bryce National Park,96,Bird,Lazuli Bunting,No Intervention,False
Shortia galacifolia,Yellowstone National Park,214,Vascular Plant,Oconee Bells,Species of Concern,True
Luzula glabrata var. hitchcockii,Yosemite National Park,138,Vascular Plant,Hitchcock's Smooth Woodrush,No Intervention,False
Malus coronaria,Yosemite National Park,143,Vascular Plant,Northern Crabapple,No Intervention,False
Astragalus lentiginosus var. ineptus,Yosemite National Park,153,Vascular Plant,"Freckled Milkvetch, Homely Milkvetch",No Intervention,False
Claytonia perfoliata ssp. perfoliata,Yosemite National Park,156,Vascular Plant,Miner's Lettuce,No Intervention,False
Ranunculus repens,Yosemite National Park,151,Vascular Plant,"Creeping Buttercup, Creeping Butter-Cup",No Intervention,False
Carex specifica,Yosemite National Park,155,Vascular Plant,Narrowfruit Sedge,No Intervention,False
Butorides virescens,Bryce National Park,117,Bird,Green-Backed Heron,No Intervention,False
Antennaria luzuloides,Great Smoky Mountains National Park,51,Vascular Plant,Rush Pussytoes,No Intervention,False
Lupinus covillei,Yellowstone National Park,282,Vascular Plant,Shaggy Lupine,No Intervention,False
Eleocharis,Yosemite National Park,191,Vascular Plant,"Spikerush, Spikesedge",No Intervention,False
Thaspium trifoliatum,Great Smoky Mountains National Park,26,Vascular Plant,Purple Meadowparsnip,No Intervention,False
Linanthus dichotomus,Yellowstone National Park,268,Vascular Plant,"Evening Snow, Eveningsnow",No Intervention,False
Calypte anna,Great Smoky Mountains National Park,79,Bird,Anna's Hummingbird,No Intervention,False
